"Action","Action"
"Add Instapago","Add Instapago"
"An error occurred while updating the instapago.","An error occurred while updating the instapago."
"Are you sure?","Are you sure?"
"CSV","CSV"
"Change status","Change status"
"Could not find instapago to delete.","Could not find instapago to delete."
"Created at","Created at"
"Delete Instapago","Delete Instapago"
"Delete","Delete"
"Disabled","Disabled"
"Edit Instapago '%s'","Edit Instapago '%s'"
"Edit","Edit"
"En caso de Magento Multitienda, Identificador de la tienda","En caso de Magento Multitienda, Identificador de la tienda"
"Enabled","Enabled"
"Error saving instapago","Error saving instapago"
"Estatus en el que se crear치 la transacci칩n.","Estatus en el que se crear치 la transacci칩n."
"Excel","Excel"
"Home","Home"
"Id","Id"
"Instapago was saved","Instapago was saved"
"Instapago was successfully deleted.","Instapago was successfully deleted."
"Instapago was successfully saved","Instapago was successfully saved"
"Instapago","Instapago"
"Keyid","Keyid"
"Llave compartida Enviada por correo al crear una cuenta  en instapago","Llave compartida Enviada por correo al crear una cuenta  en instapago"
"Llave generada desde Instapago","Llave generada desde Instapago"
"No","No"
"None","None"
"Please select instapago to delete.","Please select instapago to delete."
"Please select instapago.","Please select instapago."
"PublickeyId","PublickeyId"
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Instapago","Save Instapago"
"Status","Status"
"StatusId","StatusId"
"Store views","Store views"
"The instapago has been deleted.","The instapago has been deleted."
"There was a problem saving the instapago.","There was a problem saving the instapago."
"There was an error deleting instapago.","There was an error deleting instapago."
"There was an error updating instapago.","There was an error updating instapago."
"This instapago no longer exists.","This instapago no longer exists."
"Tienda","Tienda"
"Total of %d instapago were successfully deleted.","Total of %d instapago were successfully deleted."
"Total of %d instapago were successfully updated.","Total of %d instapago were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Unable to find instapago to save.","Unable to find instapago to save."
"Updated at","Updated at"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"